Tahun mengikuti IISMA;Proses Seleksi;sentiment_score;sentiment_label
2021;Proses seleksi IISMA nya karena aku batch ke-1 jadi engga ada yg di tanya2 in, agak ribet sendiri sih;1;Negatif
2023;gampang tergantung niat;2;Positif
2023;susah susah gampang;3;Netral
2023;pas seleksi ga ribet banget sih, cuman ada beberapa keterlambatan aja dan ga sesuai jadwal awal;1;Negatif
2022;proses sangat panjang;1;Negatif
2023;ga ribet;2;Positif
2023;Ribet;1;Negatif
2022;agak kewalahan karena sedikit ribet;1;Negatif
2022;complicated but fun;3;Netral
2021;Alhamdulillah gampang;2;Positif
2021;ribet pas covid tp gpp;1;Negatif
2022;mudah sih;2;Positif
2023;seleksinya banyak jadi harus banyak kesiapan;3;Netral
2021;proses seleksinya terbuka jadi minim kalo ada yang nitip;2;Positif
2023;panjang banyak dan yah tidak sia perjuanganku sampe dapet pengalaman baru ini;2;Positif
2021;sangat mudah;2;Positif
2021;the real bener-bener mandiri, karena gabisa nanya2 ke siapa2 atau alumni jadi yang agak kerepotan dan bingung;1;Negatif
2021;lumayan capek buat proses ke proses;1;Negatif
2022;ga ribet sih;2;Positif
2023;👍🙏👍;3;Netral
2023;baik;2;Positif
2023;aku keteteran sih dan agak bingung tp aku juga sambil nanya2 temen2ku;1;Negatif
2021;alhamdulillah mudah;2;Positif
2023;cukup;3;Netral
2021;no, process is good;2;Positif
2023;No, sangat mudah;2;Positif
2022;terbuka sistemnya dan garibet juga;2;Positif
2021;karena mungkin batch pertama jadi agak kesusahan sih dan gatau alur2 nya;1;Negatif
2021;yahh karena bener-bener mandiri nyari tau segala macem tapi tetep berhasil daftar dan lolos;2;Positif
2022;seleksinya ga ribet sih;2;Positif
2021;prosesnya sangat bisa diakses dengan sangat mudah;3;Netral
2023;lumayan susah;3;Netral
2022;Cukup sulit;3;Netral
2021;Proses seleksinya tidak terlalu ribet;2;Positif
2023;Meskipun proses seleksi Program IISMA dirancang untuk memastikan bahwa kandidat yang terpilih adalah yang terbaik, ada beberapa aspek yang bisa dianggap rumit dan memerlukan peningkatan untuk lebih memudahkan pendaftaran seperti persyaratan dokumen yang banyak, tahapan seleksi yang rumit dll. Dengan demikian, program ini dapat menjadi lebih inklusif dan dapat diakses oleh lebih banyak mahasiswa yang berpotensi.;3;Netral
2023;Prosesnya garibet;1;Negatif
2023;Mudah di mengerti alur2 seleksi nya;2;Positif
2022;Ga ribet, cuma agak lama aja pengumuman tiap tahapnya;2;Positif
2022;ga ribet;2;Positif
2022;Seleksi nya ga ribet;2;Positif
2022;ga ribet;2;Positif
2022;ga ribet;2;Positif
2022;Ga ribet si tapi admin responnya agak lama kalo urgent aku nanya;2;Positif
2021;Ga ribet;2;Positif
2021;Ga ribet tapi harus cari-cari sendiri informasinya;2;Positif
2021;Informasi nya kurang jelas jadi harus mandiri nanya-nanya ke admin;3;Netral
2023;Ga ribet;2;Positif
2021;susah seleksinya, harus pinter inggris;2;Positif
2023;Ga ribet;1;Negatif
2022;proses seleksi sangat gampang, karna gw pinter;3;Netral
2022;The selection process is quite long, there are several tests, such as an English test;2;Positif
2021;alur seleksi lumayan panjang;2;Positif
2022;seleksi mudah dijalani;2;Positif
2021;ribet seleksinya;2;Positif
2021;seleksinya ribet;2;Positif
2023;proses seleksinya ga ribet;2;Positif
2021;admin slow respon;3;Netral
2023;Seleksinya ga ribet;1;Negatif
2023;seleksinya terbuka dan mudah di ikuti;1;Negatif
2021;Seleksinya agak ribet;3;Netral
2021;Cukup ketat;1;Negatif
2023;Mudah;1;Negatif
2023;Proses seleksinya mudah;2;Positif
2021;Mudah;3;Netral
2022;Sangat mudah;2;Positif
2021;Lumayan ribet;2;Positif
